,link,name,type,price,address,built_up,land_area,bedrooms,bathrooms,monthly_installment,land_title,tenure,price_per_sqft,maintenance_fee,furnishing,state
49,/property/johor-bahru/sale-8428066/,"La Garden, Johor Bahru",2-sty Terrace/Link House | Intermediate  , 550000,"Jalan Jaya Putra 5, Mount Austin, La Garden, 81100, Johor ", 2009 sq. ft., 1170 ,4,4," 2,479 ",Residential,Freehold,-,-,Partly Furnished, Johor
50,/property/johor-bahru/sale-8423690/,"Setia Eco Cascadia, Johor Bahru",2-sty Terrace/Link House | Intermediate  , 799000,"Jalan Eco Cascadia 1/x, Setia Eco Cascadia, Setia Eco Cascadia, 81100, Johor ", 2683 sq. ft., 22X80 ,4+1,6," 3,601 ",Residential,Freehold,-,-,Fully Furnished, Johor
51,/new-property/property/bandar-sri-damansara/ativo-suites-damansara-avenue/new-5688/,Ativo Suites @ Damansara Avenue,Serviced Residence  ,0,"Damansara Avenue, Bandar Sri Damansara, Selangor ", From 499 - 1498 sq. ft., -,1 - 3,1 - 3, 0 ,Commercial,-,Contact for price,-,-, Selangor
52,/property/johor-bahru/sale-8423672/,"Taman Daya, Johor Bahru",1-sty Terrace/Link House | Intermediate  , 398000,"Jalan Rumbia, Taman Daya, Taman Daya, 81100, Johor ", -, 22x70 ,3,2," 1,794 ",Residential,Freehold,-,-,Unfurnished, Johor
53,/property/wangsa-maju/henna-residence-the-quartz-wm/sale-7648000/,"Henna Residence  @ The Quartz WM, Wangsa Maju",Serviced Residence  , 319000,"Jalan 34/26, Wangsa Maju, 53300, Kuala Lumpur ", -, -,3,2," 1,438 ",-,Freehold,-,-,Partly Furnished, Kuala Lumpur
54,/new-property/property/kepong/residensi-ava/new-6067/,Residensi Ava,Apartment  ,0,"Kiara Bay, Kepong, Kuala Lumpur ", From 813 - 1285 sq. ft., 4.41 acres ,3 - 4,2," 2,559 ",Commercial,-,RM 650,-,-, Kuala Lumpur
55,/property/wangsa-maju/henna-residence-the-quartz-wm/sale-7643133/,"Henna Residence  @ The Quartz WM, Wangsa Maju",Serviced Residence  , 319000,"Jalan 34/26, Wangsa Maju, 53300, Kuala Lumpur ", -, -,3,2," 1,438 ",-,Freehold,-,-,Partly Furnished, Kuala Lumpur
56,/property/jalan-klang-lama-old-klang-road/waltz-residences/sale-7905323/,"Waltz Residences, Taman Yarl, Jalan Klang Lama (Old Klang Road)",Condominium  , 708000,"Jalan Awan Besar, Taman Yarl, 58200, Kuala Lumpur ", 948 sq. ft., -,3,2," 3,191 ",-,Freehold,-,-,Partly Furnished, Kuala Lumpur
57,/property/seputeh/avara/sale-7905653/,"Avara, Seputeh",Condominium  , 680000,"Jalan Seputeh, Seputeh, 58000, Kuala Lumpur ", 829 sq. ft., -,2,2," 3,065 ",-,Freehold,-,-,Partly Furnished, Kuala Lumpur
58,/new-property/property/puchong/puchong-legenda/new-6051/,Puchong Legenda,3-sty Terrace/Link House  ,0,"Puchong, Selangor ", From 3163 - 5208 sq. ft., -,5,5 - 6," 4,227 ",Residential,-,Contact for price,-,-, Selangor
59,/property/alam-impian/sale-8409806/,"NICE 2sty N LOT, Sephira, TTDI ALAM IMPIAN, Alam Impian",2-sty Terrace/Link House | EndLot  , 990000,"TTDI Alam Impian, NICE 2sty N LOT, Sephira, TTDI ALAM IMPIAN, Selangor ", 2969 sq. ft., 31x80 ,4+1,5," 4,462 ",Residential,Freehold,-,-,Unfurnished, Selangor
60,/property/johor-bahru/sale-8427619/,"JP Perdana, Johor Bahru",1-sty Terrace/Link House  , 448000,"Jalan Jaya Putra 2/xx, JP Perdana, 81100, Johor ", 1540 sq. ft., -,3,2," 2,019 ",Residential,Freehold,-,-,Partly Furnished, Johor
61,/property/horizon-hills/sale-8140902/,"Horizon Hills, The Gateway, Horizon Hills",2-sty Terrace/Link House | Intermediate  , 669000,"Horizon Hills, Horizon Hills, The Gateway, 79100, Johor ", 1845 sq. ft., 20x70 ,4,3," 3,015 ",Residential,Freehold,-,-,Partly Furnished, Johor
62,/new-property/property/shah-alam/city-of-elmina-ilham-residence/new-6071/,City of Elmina : Ilham Residence,2-sty Terrace/Link House  ,0,"City Of Elmina, Shah Alam, Selangor ", From 1387 - 2341 sq. ft., -,3 - 5,2 - 3," 2,897 ",Residential,-,Contact for price,-,-, Selangor
63,/property/iskandar-puteri-nusajaya/sale-8291470/,"Eco Botanic, Davenham, Nusajaya, Iskandar Puteri (Nusajaya)",Cluster House | Intermediate  , 948000,"Eco Botanic,Horizon Hills,East Ledang,Bukit Indah,Nusa Duta,Nusa Idaman,Nusa Sentral, Eco Botanic, Davenham, Nusajaya, 79100, Johor ", 2340 sq. ft., 32x70 ,4+1,5," 4,272 ",Residential,Freehold,-,-,Unfurnished, Johor
64,/property/iskandar-puteri-nusajaya/sale-8283359/,"Eco Botanic, Eastwell, Nusajaya, Iskandar Puteri (Nusajaya)",Semi-detached House | Intermediate  , 1550000,"Eco Botanic, Eastwell, Nusajaya, Eco Botanic, Eastwell, Nusajaya, 79100, Johor ", 3200 sq. ft., 40x80 ,4+1,5," 6,986 ",Residential,Freehold,-,-,Unfurnished, Johor
65,/property/klcc/star-residences-one/sale-8355285/,"Star Residences One, KLCC",Serviced Residence | Intermediate  , 1150000,"Jalan Yap Kwan Seng, KLCC, Kuala Lumpur ", 625 sq. ft., -,1,1," 5,183 ",Residential,Freehold,-,-,Fully Furnished, Kuala Lumpur
66,/property/seremban/sale-7257000/,"Seremban TTJ, Seremban",2-sty Terrace/Link House  , 445455,"Seremban TTJ, Negeri Sembilan ", 1812 sq. ft., 20'x70' ,4,3," 2,008 ",Residential,Freehold,RM 245.84,-,-, Negeri Sembilan
67,/property/seremban/sale-8147465/,"Taman Seremban Jaya, Seremban South, Seremban",Bungalow  , 543000,"Taman Seremban Jaya, Seremban South, Negeri Sembilan ", 1726 sq. ft., 50x85 ,4,2," 2,447 ",Residential,Freehold,RM 135.11,-,-, Negeri Sembilan
68,/property/seremban/sale-7189893/,"FOREST HEIGHTS , Seremban, Seremban",2-sty Terrace/Link House  , 570600,"FOREST HEIGHTS , Seremban, Negeri Sembilan ", 2520 sq. ft., 22'x70' ,4,4," 2,572 ",Residential,Freehold,RM 226.43,-,-, Negeri Sembilan
69,/property/seremban/sale-8263067/,"Bandar Springhill, Sendayan, Seremban, Seremban",2-sty Terrace/Link House  , 350000,"Bandar Springhill, Sendayan, Seremban, Negeri Sembilan ", 2602 sq. ft., 22'x70' ,4,3," 1,577 ",Residential,Freehold,RM 170.26,-,-, Negeri Sembilan
70,/property/horizon-hills/sale-8140655/,"Horizon Hills, Canal Garden, Horizon Hills",2-sty Terrace/Link House | Intermediate  , 780000,"Horizon Hills, Canal Garden, Horizon Hills, Canal Garden, 79100, Johor ", 2300 sq. ft., 22x75 ,4+1,5," 3,515 ",Residential,Freehold,-,-,Unfurnished, Johor
71,/property/horizon-hills/sale-8269342/,"Horizon Hills, Valley West, Horizon Hills",2-sty Terrace/Link House | Intermediate  , 730000,"Jaln Gita, Horizon Hills, Horizon Hills, Valley West, 79100, Johor ", 2300 sq. ft., 22x70 ,4+1,4," 3,290 ",Residential,Freehold,-,-,Unfurnished, Johor
72,/property/kulai/sale-8427149/,"bandar indahpura, Kulai",2-sty Terrace/Link House | Intermediate  , 520000,"jln Cempaka, bandar indahpura, 81000, Johor ", -, 1540 ,4,3," 2,344 ",-,-,-,-,-, Johor
73,/property/johor-bahru/sale-8427123/,"Mount Austin Residence, Johor Bahru",2-sty Terrace/Link House | Intermediate  , 685000,"Mount Austin Residence, Mount Austin Residence, 81100, Johor ", 2373 sq. ft., -,4,4," 3,087 ",Industrial,Freehold,-,-,Fully Furnished, Johor
74,/property/ara-damansara/aragreens/sale-8427089/,"Aragreens, Ara Damansara",Condominium | Duplex  , 2210000,"Jalan Pju 1A/3, Ara Damansara, 47301, Selangor ", 3831 sq. ft., -,6+,6," 9,960 ",-,Freehold,-,-,Partly Furnished, Selangor
75,/new-property/property/damansara-heights/dc-residensi-damansara-height/new-5445/,DC Residensi @ Damansara Height,Serviced Residence  ,0,"Damansara Heights, Kuala Lumpur ", From 904 - 4478 sq. ft., 0.33 acres ,1 - 5,1 - 4," 7,901 ",Residential,-,"From RM 1,400 - RM 2,000",-,-, Kuala Lumpur
76,/property/damansara-kim/sale-7667578/,"Jalan ss20/8, Damansara Kim, Damansara Kim",2-sty Terrace/Link House | Intermediate  , 1150000,"Jalan ss20/8, Damansara Kim, 47400, Selangor ", 2200 sq. ft., 1540 ,5,3," 5,183 ",Residential,Freehold,-,-,Partly Furnished, Selangor
77,/property/damansara-jaya/sale-7590914/,"Jalan ss22/32, Damansara Jaya, Damansara Jaya",Bungalow | Intermediate  , 3680000,"Jalan ss22/32, Damansara Jaya, 47400, Selangor ", 4200 sq. ft., 7997 ,5,0," 16,585 ",Residential,Freehold,-,-,Partly Furnished, Selangor
78,/new-property/property/seremban/allora-residensi-sigc/new-5618/,Allora @ Residensi SIGC,Semi-detached House  ,0,"Residensi SIGC, Seremban, Negeri Sembilan ", From 4054 - 4151 sq. ft., 45' x 85' ,4 - 5,4 - 5," 4,948 ",Residential,-,RM 271,-,-, Negeri Sembilan
79,/property/damansara-jaya/sale-6317355/,"Jalan ss22, Damansara Jaya, Damansara Jaya",Bungalow | Corner  , 6200000,"Jalan ss22, Damansara Jaya, 47400, Selangor ", 7000 sq. ft., 8200 ,6+1,6," 27,942 ",Residential,Freehold,-,-,Partly Furnished, Selangor
80,/property/iskandar-puteri-nusajaya/sale-8004211/,"Bukit Indah, Iskandar Puteri (Nusajaya)",1-sty Terrace/Link House | Corner  , 590000,"Bukit Indah, Bukit Indah, 79100, Johor ", 2800 sq. ft., -,3,2," 2,659 ",-,-,-,-,-, Johor
81,/property/iskandar-puteri-nusajaya/sale-8427029/,"Serimbun, Bukit Indah, Nusajaya , Iskandar Puteri (Nusajaya)",2-sty Terrace/Link House | Intermediate  , 671000,"Jalan Indah, Taman Bukit Indah,Serimbun, Nusa Idaman, Nusa bestari, Serimbun, Bukit Indah, Nusajaya , 79100, Johor ", 1993 sq. ft., 20 x 70 ,4,3," 3,024 ",Residential,Freehold,-,-,Unfurnished, Johor
82,/new-property/property/subang-jaya/subang-jaya-city-centre-sjcc-tropika-paradise/new-1198/,Subang Jaya City Centre (SJCC) : Tropika Paradise,Condominium  , 560888,"Subang Jaya, Selangor ", 1410 sq. ft., -,3,2," 2,528 ",Residential,-,RM 398,-,-, Selangor
83,/property/bukit-jalil/sale-8426834/,"Sri Petaling, Bukit Jalil",3-sty Terrace/Link House  , 880000,"Sri Petaling, 57000, Kuala Lumpur ", 2549 sq. ft., 1600 ,5+1,5," 3,966 ",Residential,Leasehold,-,-,-, Kuala Lumpur
84,/property/johor-bahru/sale-8311966/,"Ehsan Heights, Taman Ehsan Jaya, Johor Bahru",2.5-sty Terrace/Link House | Intermediate  , 750000,"Jalan EJ, Ehsan Heights, Taman Ehsan Jaya, 81100, Johor ", 1920 sq. ft., 24x80 ,6,4," 3,380 ",Residential,Leasehold,-,-,Partly Furnished, Johor
85,/property/bandar-kinrara/sale-8426927/,"Sri Petaling, Bukit Jalil, Bandar Kinrara",3-sty Terrace/Link House  , 880000,"Sri Petaling, Bukit Jalil, 57000, Selangor ", 2549 sq. ft., 1600 ,5+1,5," 3,966 ",Residential,Leasehold,-,-,-, Selangor
86,/new-property/property/kota-kemuning/elemen-residences/new-6040/,Elemen Residences,2-sty Terrace/Link House  ,0,"Tropicana Aman, Kota Kemuning, Selangor ", From 3013 - 3142 sq. ft., -,5,4 - 5, 0 ,Unknown,-,Contact for price,-,-, Selangor
87,/property/kulai/sale-8177288/,"Bandar Putra, Kulai",Bungalow | Intermediate  , 1750000,"Bandar Putra, 81000, Johor ", 4000 sq. ft., 9430 ,5+1,5," 7,887 ",Residential,Freehold,-,-,Partly Furnished, Johor
88,/property/kulai/sale-8159712/,"Bandar Putra, Kulaijaya, Kulai",Semi-detached House | Intermediate  , 1280000,"Palm Villa, Gate C, Bandar Putra, Kulaijaya, 81000, Johor ", 4355 sq. ft., 5252 ,5+1,6," 5,769 ",Residential,Freehold,-,-,Unfurnished, Johor
89,/property/johor-bahru/sale-8427023/,"Bandar Dato Onn, Johor Bahru",2-sty Terrace/Link House | Intermediate  , 600000,"Bandar Dato Onn, Bandar Dato Onn, 81100, Johor ", 1540 sq. ft., -,4,3," 2,704 ",Industrial,Freehold,-,-,Fully Furnished, Johor
90,/property/iskandar-puteri-nusajaya/sale-8117927/,"Eco Botanic, Eastwell, Iskandar Puteri (Nusajaya)",Semi-detached House | Intermediate  , 1550000,"Horizon Hills, East Ledang,Eco Botanic, Bukit Indah, Nusa Idaman, Nusa Duta, Nusa Sentral, Eco Botanic, Eastwell, Johor ", 3320 sq. ft., 40x80 ,4+1,6," 6,986 ",Residential,Freehold,-,-,Unfurnished, Johor
91,/property/johor-bahru/r-f-princess-cove/sale-8055438/,"R&F Princess Cove, Johor Bahru",Serviced Residence  , 1260000,"Jalan Tanjung Puteri, Johor Bahru, Johor ", 1129 sq. ft., -,3,2," 5,679 ",Unknown,Freehold,-,-,Partly Furnished, Johor
92,/property/johor-bahru/sale-8426930/,"Jp Perdana Mount Austin, Johor Bahru",1-sty Terrace/Link House | Intermediate  , 448000,"Jp Perdana 2, Jalan Jaya Putra 2, Mount Austin, Jp Perdana Mount Austin, 81100, Johor ", 1540 sq. ft., 1540 ,3,2," 2,019 ",Residential,Freehold,-,-,Fully Furnished, Johor
93,/property/wangsa-maju/quinn-residence/sale-8398617/,"Quinn Residence, Taman Wangsa Maju, Wangsa Maju",Condominium  , 444800,"Jalan Wangsa Perdana 1, Taman Wangsa Maju, 53300, Kuala Lumpur ", -, -,4,2," 2,005 ",-,-,-,-,Partly Furnished, Kuala Lumpur
